Customer ID,transactions,total_units,total_spend,average_ticket,average_discount,average_rating,first_purchase,last_purchase,age,age_group,gender,location,subscription_status,returned_transactions,online_transactions,preferred_category,preferred_product,preferred_brand,days_since_last_purchase,inactive_270,activity_status,return_rate_pct,online_share_pct,offline_share_pct
CUST000001,2,4,12131,6065.5,6.5,2.5,2023-10-18,2024-11-23,56,Adult,Female,Lucknow,No,0,2,Accessories,Bag,Hush Puppies,37,False,Active,0.0,100.0,0.0
CUST000002,2,4,28663,14331.5,8.0,4.0,2023-01-25,2024-12-04,38,Adult,Male,Bhubaneswar,Yes,1,0,Clothing,Running Shoes,Biba,26,False,Active,50.0,0.0,100.0
CUST000005,2,3,2389,1194.5,9.0,2.5,2023-05-20,2023-07-01,38,Adult,Female,Jaipur,Yes,1,1,Clothing,Shorts,HRX,548,True,Inactive 270+ days,50.0,50.0,50.0
CUST000006,3,8,10945,3648.33,9.33,3.33,2023-11-29,2024-09-05,59,Adult,Male,Nagpur,Yes,1,3,Clothing,Saree,Allen Solly,116,False,Active,33.33,100.0,0.0
CUST000008,6,9,55548,9258.0,8.0,3.0,2023-07-10,2024-11-25,26,Adult,Male,Pune,No,0,4,Footwear,Heels,Adidas,35,False,Active,0.0,66.67,33.33
CUST000009,1,2,3198,3198.0,9.0,3.0,2024-05-29,2024-05-29,26,Adult,Male,Mumbai,No,0,0,Clothing,Hoodie,HRX,215,False,Active,0.0,0.0,100.0
CUST000011,2,3,5814,2907.0,12.0,3.5,2023-12-09,2024-11-05,53,Adult,Male,Pune,No,0,1,Accessories,Running Shoes,HRX,55,False,Active,0.0,50.0,50.0
CUST000012,2,2,4190,2095.0,28.0,3.5,2024-08-20,2024-09-27,21,Young Adult,Male,Surat,No,0,2,Accessories,Kurta,Biba,94,False,Active,0.0,100.0,0.0
CUST000013,1,1,1740,1740.0,8.0,3.0,2023-09-09,2023-09-09,27,Adult,Female,Patna,No,0,1,Footwear,Running Shoes,HRX,478,True,Inactive 270+ days,0.0,100.0,0.0
CUST000014,7,10,53539,7648.43,7.14,3.43,2023-01-20,2024-09-13,57,Adult,Female,Kolkata,Yes,1,5,Clothing,Jacket,Nike,108,False,Active,14.29,71.43,28.57
CUST000015,2,3,22078,11039.0,8.0,4.5,2023-05-03,2024-12-05,41,Adult,Male,Kolkata,Yes,1,2,Clothing,Jacket,FabIndia,25,False,Active,50.0,100.0,0.0
CUST000016,4,4,7789,1947.25,5.25,4.25,2023-01-12,2024-07-14,18,Young Adult,Male,Delhi,No,0,4,Clothing,Cap,Biba,169,False,Active,0.0,100.0,0.0
CUST000017,6,8,27657,4609.5,11.83,3.17,2023-09-18,2024-08-20,25,Young Adult,Male,Indore,Yes,3,5,Clothing,T-shirt,HRX,132,False,Active,50.0,83.33,16.67
CUST000018,1,1,1279,1279.0,5.0,3.0,2024-09-13,2024-09-13,52,Adult,Female,Visakhapatnam,No,0,0,Clothing,Shorts,Zara,108,False,Active,0.0,0.0,100.0
CUST000019,4,4,19221,4805.25,4.25,3.0,2023-01-12,2024-06-05,58,Adult,Female,Delhi,No,0,3,Clothing,Formal Shoes,Zara,208,False,Active,0.0,75.0,25.0
CUST000020,1,1,24802,24802.0,15.0,4.0,2024-11-06,2024-11-06,50,Adult,Male,Visakhapatnam,No,0,0,Footwear,Running Shoes,Nike,54,False,Active,0.0,0.0,100.0
CUST000021,2,3,1286,643.0,14.5,4.0,2023-07-14,2024-06-30,52,Adult,Male,Visakhapatnam,No,0,2,Accessories,Cap,Hush Puppies,183,False,Active,0.0,100.0,0.0
CUST000022,3,5,31390,10463.33,12.0,2.67,2023-05-24,2024-09-25,18,Young Adult,Female,Patna,No,2,3,Footwear,Sneakers,HRX,96,False,Active,66.67,100.0,0.0
CUST000023,3,4,20509,6836.33,5.33,4.67,2023-04-21,2024-10-17,32,Adult,Male,Bangalore,No,0,3,Accessories,Sneakers,Levis,74,False,Active,0.0,100.0,0.0
CUST000024,7,10,78183,11169.0,4.0,3.14,2023-01-22,2024-12-25,49,Adult,Female,Gurgaon,No,2,4,Clothing,Wallet,Nike,5,False,Active,28.57,57.14,42.86
CUST000025,6,7,18614,3102.33,10.5,3.83,2023-01-31,2024-03-02,47,Adult,Male,Ahmedabad,No,2,5,Clothing,Kurta,Adidas,303,True,Inactive 270+ days,33.33,83.33,16.67
CUST000026,3,3,7134,2378.0,17.67,3.67,2023-11-18,2024-10-11,46,Adult,Male,Ahmedabad,Yes,0,1,Footwear,Running Shoes,Bata,80,False,Active,0.0,33.33,66.67
CUST000027,5,8,24434,4886.8,16.2,4.0,2023-01-07,2024-11-18,19,Young Adult,Female,Kochi,No,2,4,Clothing,Jeans,Biba,42,False,Active,40.0,80.0,20.0
CUST000028,2,7,56021,28010.5,9.0,4.0,2023-12-02,2024-09-27,61,Adult,Male,Indore,No,1,1,Clothing,Kurta,FabIndia,94,False,Active,50.0,50.0,50.0
CUST000029,1,2,4659,4659.0,0.0,4.0,2024-11-20,2024-11-20,42,Adult,Male,Chennai,Yes,0,1,Clothing,Saree,FabIndia,40,False,Active,0.0,100.0,0.0
CUST000030,5,11,61678,12335.6,9.4,4.0,2024-02-18,2024-10-27,30,Adult,Female,Ahmedabad,Yes,1,3,Clothing,Saree,FabIndia,64,False,Active,20.0,60.0,40.0
CUST000031,2,2,3613,1806.5,13.0,4.0,2023-05-28,2023-06-29,26,Adult,Female,Chennai,Yes,0,2,Clothing,Shorts,Puma,550,True,Inactive 270+ days,0.0,100.0,0.0
CUST000032,2,2,1284,642.0,7.0,4.0,2024-03-31,2024-10-21,41,Adult,Female,Delhi,No,0,1,Accessories,Cap,Levis,70,False,Active,0.0,50.0,50.0
CUST000033,3,5,12598,4199.33,7.67,3.0,2023-01-05,2024-05-16,29,Adult,Male,Mumbai,No,1,3,Footwear,Boots,Max,228,False,Active,33.33,100.0,0.0
CUST000034,5,6,64221,12844.2,7.0,3.8,2023-10-22,2024-12-28,34,Adult,Male,Mumbai,No,1,4,Footwear,Formal Shoes,H&M,2,False,Active,20.0,80.0,20.0
CUST000035,2,4,13821,6910.5,6.0,3.0,2023-09-10,2024-03-14,49,Adult,Female,Bhubaneswar,No,1,0,Clothing,Dress,HRX,291,True,Inactive 270+ days,50.0,0.0,100.0
CUST000036,4,7,36127,9031.75,9.0,3.5,2023-01-04,2024-09-07,61,Adult,Male,Kochi,Yes,1,1,Clothing,Dress,Puma,114,False,Active,25.0,25.0,75.0
CUST000037,2,3,11641,5820.5,7.5,4.0,2023-12-28,2024-04-22,28,Adult,Male,Noida,No,0,2,Clothing,Hoodie,FabIndia,252,False,Active,0.0,100.0,0.0
CUST000039,1,1,1638,1638.0,12.0,5.0,2024-07-15,2024-07-15,26,Adult,Male,Kochi,No,0,1,Clothing,Saree,Biba,168,False,Active,0.0,100.0,0.0
CUST000040,1,2,3224,3224.0,12.0,3.0,2023-02-22,2023-02-22,37,Adult,Male,Pune,Yes,0,1,Footwear,Heels,Max,677,True,Inactive 270+ days,0.0,100.0,0.0
CUST000041,5,5,27784,5556.8,5.4,3.6,2023-03-01,2024-12-28,36,Adult,Male,Ahmedabad,Yes,0,4,Clothing,Sneakers,Puma,2,False,Active,0.0,80.0,20.0
CUST000042,2,6,79138,39569.0,5.0,3.5,2023-12-26,2024-06-29,57,Adult,Male,Surat,No,0,2,Accessories,Bag,Nike,184,False,Active,0.0,100.0,0.0
CUST000043,2,2,9830,4915.0,10.0,3.5,2023-01-14,2023-03-25,45,Adult,Female,Surat,No,0,2,Clothing,Saree,Adidas,646,True,Inactive 270+ days,0.0,100.0,0.0
CUST000044,2,3,6321,3160.5,18.0,3.5,2024-01-01,2024-07-13,52,Adult,Male,Nagpur,No,0,1,Clothing,Jeans,H&M,170,False,Active,0.0,50.0,50.0
CUST000045,2,3,57547,28773.5,10.0,4.5,2024-02-23,2024-04-24,19,Young Adult,Other,Jaipur,No,1,2,Footwear,Running Shoes,Adidas,250,False,Active,50.0,100.0,0.0
CUST000048,1,2,19200,19200.0,4.0,5.0,2024-08-17,2024-08-17,25,Young Adult,Female,Chandigarh,No,0,1,Clothing,Saree,FabIndia,135,False,Active,0.0,100.0,0.0
CUST000050,3,4,12497,4165.67,6.67,2.33,2023-07-08,2024-06-06,19,Young Adult,Female,Nagpur,No,0,3,Footwear,Sandals,Fastrack,207,False,Active,0.0,100.0,0.0
CUST000051,1,1,539,539.0,16.0,4.0,2024-10-02,2024-10-02,50,Adult,Male,Patna,No,0,0,Clothing,T-shirt,Puma,89,False,Active,0.0,0.0,100.0
CUST000052,5,7,80418,16083.6,7.6,3.8,2023-07-15,2024-11-11,25,Young Adult,Female,Noida,No,2,4,Accessories,Belt,Levis,49,False,Active,40.0,80.0,20.0
CUST000053,6,7,33330,5555.0,6.5,3.67,2023-04-22,2024-07-22,39,Adult,Male,Patna,No,1,6,Accessories,Backpack,Puma,161,False,Active,16.67,100.0,0.0
CUST000054,4,4,31190,7797.5,17.25,3.25,2023-05-02,2023-11-11,25,Young Adult,Female,Mumbai,No,1,2,Clothing,Jacket,Zara,415,True,Inactive 270+ days,25.0,50.0,50.0
CUST000055,1,1,7235,7235.0,5.0,3.0,2023-10-05,2023-10-05,45,Adult,Female,Chennai,Yes,1,1,Footwear,Running Shoes,Nike,452,True,Inactive 270+ days,100.0,100.0,0.0
CUST000056,2,5,14138,7069.0,10.5,3.5,2023-07-29,2023-10-09,36,Adult,Female,Noida,Yes,0,2,Clothing,Kurta,Adidas,448,True,Inactive 270+ days,0.0,100.0,0.0
CUST000057,1,1,1684,1684.0,45.0,3.0,2023-10-13,2023-10-13,45,Adult,Male,Patna,No,1,1,Accessories,Backpack,Levis,444,True,Inactive 270+ days,100.0,100.0,0.0
CUST000058,3,3,19661,6553.67,10.67,3.67,2024-02-13,2024-11-14,58,Adult,Female,Noida,No,1,3,Footwear,Belt,Bata,46,False,Active,33.33,100.0,0.0
CUST000059,2,2,13604,6802.0,9.5,3.5,2023-10-24,2024-03-25,50,Adult,Male,Chennai,No,1,2,Footwear,Running Shoes,Adidas,280,True,Inactive 270+ days,50.0,100.0,0.0
CUST000060,2,4,2210,1105.0,7.0,3.0,2023-01-08,2024-05-21,42,Adult,Male,Hyderabad,No,0,1,Accessories,Slippers,Max,223,False,Active,0.0,50.0,50.0
CUST000061,3,4,20957,6985.67,13.33,4.33,2023-06-19,2024-10-12,49,Adult,Female,Mumbai,Yes,1,3,Clothing,Saree,Puma,79,False,Active,33.33,100.0,0.0
CUST000062,6,6,30205,5034.17,11.83,3.0,2023-02-10,2024-12-12,19,Young Adult,Male,Chandigarh,No,1,5,Clothing,Jacket,Max,18,False,Active,16.67,83.33,16.67
CUST000063,4,4,13809,3452.25,9.75,3.0,2023-07-22,2024-03-05,56,Adult,Male,Hyderabad,Yes,1,4,Footwear,Backpack,HRX,300,True,Inactive 270+ days,25.0,100.0,0.0
CUST000064,4,5,22030,5507.5,17.75,3.75,2023-08-13,2024-12-07,24,Young Adult,Female,Kolkata,Yes,2,3,Footwear,Formal Shoes,Adidas,23,False,Active,50.0,75.0,25.0
CUST000065,1,2,6611,6611.0,36.0,3.0,2023-08-31,2023-08-31,40,Adult,Male,Mumbai,Yes,1,1,Clothing,Kurta,FabIndia,487,True,Inactive 270+ days,100.0,100.0,0.0
CUST000066,4,4,19503,4875.75,12.0,4.25,2023-01-10,2024-05-15,42,Adult,Male,Noida,Yes,1,2,Footwear,Boots,FabIndia,229,False,Active,25.0,50.0,50.0
CUST000067,2,2,11672,5836.0,7.5,4.0,2023-01-03,2024-03-30,54,Adult,Female,Jaipur,No,0,0,Clothing,Formal Shoes,Hush Puppies,275,True,Inactive 270+ days,0.0,0.0,100.0
CUST000069,2,2,27419,13709.5,8.0,3.5,2024-01-24,2024-03-29,57,Adult,Female,Kolkata,No,0,0,Accessories,Backpack,Nike,276,True,Inactive 270+ days,0.0,0.0,100.0
CUST000070,5,5,16610,3322.0,8.8,2.8,2023-01-22,2024-11-13,47,Adult,Male,Bhubaneswar,No,1,5,Clothing,Trousers,HRX,47,False,Active,20.0,100.0,0.0
CUST000071,2,4,19907,9953.5,13.5,4.5,2023-05-17,2023-11-10,54,Adult,Male,Delhi,No,0,0,Accessories,Sandals,Bata,416,True,Inactive 270+ days,0.0,0.0,100.0
CUST000072,5,5,32937,6587.4,8.8,3.2,2023-02-12,2023-11-26,18,Young Adult,Male,Nagpur,Yes,2,1,Accessories,Socks,Fastrack,400,True,Inactive 270+ days,40.0,20.0,80.0
CUST000073,3,4,6445,2148.33,4.0,2.33,2024-01-24,2024-12-10,18,Young Adult,Female,Ahmedabad,No,2,3,Clothing,Shorts,HRX,20,False,Active,66.67,100.0,0.0
CUST000074,2,2,6719,3359.5,6.0,3.5,2023-01-15,2024-05-04,39,Adult,Female,Hyderabad,Yes,2,1,Clothing,Hoodie,Puma,240,False,Active,100.0,50.0,50.0
CUST000075,1,4,3984,3984.0,8.0,2.0,2023-05-08,2023-05-08,54,Adult,Male,Patna,Yes,0,0,Clothing,Trousers,Max,602,True,Inactive 270+ days,0.0,0.0,100.0
CUST000076,4,6,29806,7451.5,16.5,3.5,2023-07-29,2024-01-22,47,Adult,Female,Gurgaon,Yes,1,2,Footwear,Belt,Max,343,True,Inactive 270+ days,25.0,50.0,50.0
CUST000077,6,7,22313,3718.83,12.33,4.0,2023-05-17,2024-12-08,43,Adult,Female,Ahmedabad,No,1,5,Clothing,Shirt,Levis,22,False,Active,16.67,83.33,16.67
CUST000079,1,2,15480,15480.0,9.0,4.0,2024-03-26,2024-03-26,48,Adult,Male,Bhubaneswar,No,0,1,Footwear,Formal Shoes,Zara,279,True,Inactive 270+ days,0.0,100.0,0.0
CUST000080,1,2,654,654.0,13.0,4.0,2024-11-28,2024-11-28,22,Young Adult,Female,Nagpur,Yes,0,1,Accessories,Socks,Levis,32,False,Active,0.0,100.0,0.0
CUST000081,2,4,11840,5920.0,9.5,3.5,2024-08-29,2024-09-29,45,Adult,Female,Gurgaon,No,0,2,Accessories,Backpack,Puma,92,False,Active,0.0,100.0,0.0
CUST000082,2,2,9146,4573.0,6.5,3.0,2024-01-02,2024-01-23,52,Adult,Female,Chennai,No,0,2,Accessories,Backpack,HRX,342,True,Inactive 270+ days,0.0,100.0,0.0
CUST000083,2,2,9205,4602.5,5.5,2.5,2023-03-19,2023-06-14,54,Adult,Female,Chennai,No,0,2,Accessories,Saree,Biba,565,True,Inactive 270+ days,0.0,100.0,0.0
CUST000084,5,6,11658,2331.6,17.4,3.6,2023-10-02,2024-10-26,60,Adult,Male,Kolkata,Yes,1,4,Clothing,T-shirt,Zara,65,False,Active,20.0,80.0,20.0
CUST000085,4,5,17233,4308.25,6.5,3.5,2023-01-28,2024-08-14,52,Adult,Male,Chandigarh,No,3,4,Clothing,Running Shoes,HRX,138,False,Active,75.0,100.0,0.0
CUST000087,3,4,13605,4535.0,6.33,4.33,2024-03-17,2024-10-27,62,Adult,Female,Pune,No,0,2,Footwear,Jacket,HRX,64,False,Active,0.0,66.67,33.33
CUST000088,3,5,7893,2631.0,5.67,2.33,2023-05-28,2024-06-08,53,Adult,Male,Delhi,No,1,1,Accessories,Bag,Hush Puppies,205,False,Active,33.33,33.33,66.67
CUST000089,1,1,3988,3988.0,12.0,4.0,2023-03-23,2023-03-23,52,Adult,Male,Surat,Yes,0,1,Footwear,Sandals,Zara,648,True,Inactive 270+ days,0.0,100.0,0.0
CUST000090,4,5,12231,3057.75,10.75,3.75,2023-09-20,2024-06-14,29,Adult,Male,Kolkata,No,2,2,Footwear,Kurta,HRX,199,False,Active,50.0,50.0,50.0
CUST000091,2,2,13048,6524.0,2.5,3.5,2024-07-18,2024-09-24,58,Adult,Male,Noida,No,0,1,Clothing,Running Shoes,Adidas,97,False,Active,0.0,50.0,50.0
CUST000092,7,12,22660,3237.14,7.0,2.57,2023-05-13,2024-12-23,39,Adult,Male,Bhubaneswar,No,3,7,Clothing,Saree,Max,7,False,Active,42.86,100.0,0.0
CUST000093,3,5,13830,4610.0,12.67,3.33,2024-04-03,2024-08-09,58,Adult,Female,Delhi,No,2,1,Footwear,Running Shoes,Nike,143,False,Active,66.67,33.33,66.67
CUST000094,2,5,7436,3718.0,7.5,2.5,2023-08-26,2024-04-13,36,Adult,Female,Nagpur,No,0,1,Accessories,Hoodie,HRX,261,False,Active,0.0,50.0,50.0
CUST000095,4,4,29539,7384.75,10.75,3.25,2023-03-01,2024-12-26,29,Adult,Male,Pune,No,1,2,Footwear,Running Shoes,Bata,4,False,Active,25.0,50.0,50.0
CUST000096,1,2,406,406.0,2.0,4.0,2023-06-23,2023-06-23,56,Adult,Male,Bangalore,No,0,1,Footwear,Slippers,Bata,556,True,Inactive 270+ days,0.0,100.0,0.0
CUST000097,2,4,23396,11698.0,21.5,3.5,2023-10-09,2024-02-18,22,Young Adult,Female,Indore,No,0,1,Accessories,Backpack,Levis,316,True,Inactive 270+ days,0.0,50.0,50.0
CUST000099,6,8,29599,4933.17,6.17,3.33,2023-01-28,2024-07-31,57,Adult,Male,Surat,No,2,5,Clothing,Dress,Max,152,False,Active,33.33,83.33,16.67
CUST000100,3,5,17477,5825.67,7.0,3.0,2023-02-01,2024-04-05,22,Young Adult,Female,Kochi,No,1,2,Footwear,Formal Shoes,Bata,269,False,Active,33.33,66.67,33.33
CUST000101,3,6,49020,16340.0,9.33,4.33,2023-04-18,2023-08-23,18,Young Adult,Female,Noida,No,0,3,Clothing,Running Shoes,HRX,495,True,Inactive 270+ days,0.0,100.0,0.0
CUST000102,1,1,1080,1080.0,12.0,2.0,2024-07-27,2024-07-27,62,Adult,Female,Kochi,No,1,1,Footwear,Sandals,Bata,156,False,Active,100.0,100.0,0.0
CUST000104,1,1,1768,1768.0,1.0,3.0,2023-05-10,2023-05-10,62,Adult,Male,Gurgaon,Yes,0,1,Footwear,Sneakers,HRX,600,True,Inactive 270+ days,0.0,100.0,0.0
CUST000105,4,5,32284,8071.0,11.5,3.25,2023-08-22,2024-11-17,58,Adult,Female,Hyderabad,No,1,2,Clothing,Hoodie,Max,43,False,Active,25.0,50.0,50.0
CUST000106,4,5,16791,4197.75,5.0,3.75,2023-08-22,2024-09-14,42,Adult,Female,Kochi,No,0,4,Clothing,Saree,Max,107,False,Active,0.0,100.0,0.0
CUST000107,8,15,31656,3957.0,6.25,4.0,2023-02-05,2024-12-06,61,Adult,Other,Kolkata,Yes,1,6,Clothing,Shorts,Allen Solly,24,False,Active,12.5,75.0,25.0
CUST000108,2,4,14755,7377.5,11.0,3.5,2023-12-02,2024-11-14,33,Adult,Female,Indore,No,0,2,Clothing,Shirt,H&M,46,False,Active,0.0,100.0,0.0
CUST000109,8,13,58798,7349.75,4.38,3.0,2023-05-15,2024-08-30,52,Adult,Female,Surat,Yes,3,6,Clothing,Running Shoes,HRX,122,False,Active,37.5,75.0,25.0
CUST000110,3,3,10343,3447.67,6.0,3.33,2024-03-02,2024-09-28,31,Adult,Male,Chennai,No,0,3,Accessories,Belt,Fastrack,93,False,Active,0.0,100.0,0.0
CUST000111,1,2,3399,3399.0,4.0,4.0,2024-05-05,2024-05-05,33,Adult,Female,Indore,Yes,0,1,Accessories,Belt,Levis,239,False,Active,0.0,100.0,0.0
CUST000112,7,9,38183,5454.71,7.0,3.43,2023-04-19,2024-08-04,41,Adult,Female,Chandigarh,Yes,1,5,Clothing,Hoodie,Nike,148,False,Active,14.29,71.43,28.57
CUST000113,3,5,27981,9327.0,4.33,3.33,2023-03-04,2024-12-19,43,Adult,Male,Surat,Yes,0,0,Clothing,Heels,Biba,11,False,Active,0.0,0.0,100.0
CUST000114,3,3,10433,3477.67,6.67,3.33,2023-08-18,2024-06-15,58,Adult,Male,Noida,Yes,0,3,Clothing,Backpack,FabIndia,198,False,Active,0.0,100.0,0.0
CUST000115,1,1,14024,14024.0,15.0,3.0,2024-06-18,2024-06-18,37,Adult,Female,Nagpur,Yes,0,1,Footwear,Sneakers,Adidas,195,False,Active,0.0,100.0,0.0
CUST000117,2,2,3290,1645.0,6.5,3.5,2024-03-07,2024-04-16,27,Adult,Female,Surat,No,0,1,Footwear,Formal Shoes,Hush Puppies,258,False,Active,0.0,50.0,50.0
CUST000118,2,4,4054,2027.0,11.5,4.0,2023-01-26,2024-10-09,50,Adult,Female,Surat,No,0,2,Accessories,Hoodie,Adidas,82,False,Active,0.0,100.0,0.0
CUST000119,3,6,22924,7641.33,10.67,3.33,2024-08-30,2024-12-23,28,Adult,Female,Noida,No,1,2,Footwear,Formal Shoes,Adidas,7,False,Active,33.33,66.67,33.33
CUST000120,3,3,23064,7688.0,13.67,4.0,2023-11-09,2024-10-20,58,Adult,Male,Chennai,Yes,2,3,Footwear,Running Shoes,Puma,71,False,Active,66.67,100.0,0.0
CUST000121,3,9,65474,21824.67,12.0,3.0,2024-05-13,2024-10-03,34,Adult,Female,Visakhapatnam,No,2,2,Footwear,Boots,Hush Puppies,88,False,Active,66.67,66.67,33.33
CUST000122,4,5,37792,9448.0,12.25,3.75,2023-04-16,2024-10-04,40,Adult,Female,Visakhapatnam,No,1,3,Footwear,Kurta,Adidas,87,False,Active,25.0,75.0,25.0
CUST000123,2,4,59522,29761.0,14.0,3.5,2023-03-10,2024-05-12,34,Adult,Male,Delhi,Yes,0,2,Footwear,Sneakers,HRX,232,False,Active,0.0,100.0,0.0
CUST000124,2,3,3964,1982.0,4.5,4.0,2023-03-09,2024-06-11,62,Adult,Female,Chennai,No,0,2,Accessories,Belt,FabIndia,202,False,Active,0.0,100.0,0.0
CUST000125,1,2,5100,5100.0,8.0,3.0,2023-07-23,2023-07-23,45,Adult,Male,Ahmedabad,No,0,1,Clothing,Shorts,Puma,526,True,Inactive 270+ days,0.0,100.0,0.0
CUST000126,6,9,34387,5731.17,6.83,3.17,2023-02-11,2024-11-17,20,Young Adult,Female,Jaipur,No,0,5,Clothing,Jacket,HRX,43,False,Active,0.0,83.33,16.67
CUST000127,4,5,4906,1226.5,6.75,4.0,2023-08-07,2024-11-11,22,Young Adult,Male,Noida,Yes,0,4,Clothing,Belt,Biba,49,False,Active,0.0,100.0,0.0
CUST000128,2,4,7195,3597.5,5.5,4.5,2023-10-30,2023-12-02,38,Adult,Female,Indore,Yes,0,2,Clothing,Kurta,FabIndia,394,True,Inactive 270+ days,0.0,100.0,0.0
CUST000129,1,1,3259,3259.0,0.0,3.0,2023-01-19,2023-01-19,51,Adult,Male,Mumbai,No,0,1,Footwear,Formal Shoes,Hush Puppies,711,True,Inactive 270+ days,0.0,100.0,0.0
CUST000130,3,3,12149,4049.67,7.0,2.67,2023-11-21,2024-12-24,51,Adult,Male,Kochi,No,0,2,Accessories,Backpack,HRX,6,False,Active,0.0,66.67,33.33
CUST000131,2,3,41663,20831.5,2.5,5.0,2024-11-16,2024-12-18,47,Adult,Female,Bhubaneswar,No,0,1,Accessories,Running Shoes,Nike,12,False,Active,0.0,50.0,50.0
CUST000132,4,5,22322,5580.5,7.0,3.5,2023-04-08,2024-12-21,21,Young Adult,Male,Noida,No,1,4,Clothing,Hoodie,HRX,9,False,Active,25.0,100.0,0.0
