Item Purchased,category,primary_brand,transactions,unique_customers,units_sold,total_revenue,average_ticket,average_discount,average_rating,returned_transactions,transaction_share_pct,return_rate_pct,popularity_rank
Kurta,Clothing,FabIndia,870,775,1250,2565357,2948.69,9.04,3.51,164,8.7,18.85,1
Running Shoes,Footwear,Nike,861,764,1213,14080001,16353.08,8.58,3.58,157,8.61,18.23,2
Saree,Clothing,FabIndia,846,734,1164,6331319,7483.83,8.46,3.51,157,8.46,18.56,3
Sneakers,Footwear,Puma,817,728,1179,15583108,19073.57,9.2,3.55,140,8.17,17.14,4
Jacket,Clothing,Adidas,676,630,966,4634764,6856.16,8.93,3.6,130,6.76,19.23,5
T-shirt,Clothing,Puma,645,593,920,1281872,1987.4,8.82,3.5,127,6.45,19.69,6
Shorts,Clothing,HRX,604,556,827,1340030,2218.59,8.88,3.44,112,6.04,18.54,7
Hoodie,Clothing,Nike,417,398,594,2168269,5199.69,8.17,3.54,75,4.17,17.99,8
Sandals,Footwear,Bata,371,346,515,987552,2661.87,8.66,3.27,89,3.71,23.99,9
Heels,Footwear,Bata,352,338,502,1487007,4224.45,8.47,3.31,67,3.52,19.03,10
Slippers,Footwear,Hush Puppies,346,331,495,295270,853.38,8.92,3.37,73,3.46,21.1,11
Boots,Footwear,Bata,329,314,464,2681133,8149.34,8.74,3.39,69,3.29,20.97,12
Formal Shoes,Footwear,Zara,319,303,493,2348392,7361.73,8.91,3.37,53,3.19,16.61,13
Backpack,Accessories,Levis,264,248,369,1174824,4450.09,9.25,3.48,26,2.64,9.85,14
Jeans,Clothing,Allen Solly,250,249,368,993082,3972.33,8.45,3.46,48,2.5,19.2,15
Bag,Accessories,Tommy Hilfiger,244,233,350,1335027,5471.42,8.56,3.37,25,2.44,10.25,16
Socks,Accessories,Tommy Hilfiger,240,231,348,142192,592.47,8.95,3.37,34,2.4,14.17,17
Trousers,Clothing,Max,239,233,340,783649,3278.87,7.87,3.39,41,2.39,17.15,18
Shirt,Clothing,Allen Solly,232,223,346,699994,3017.22,8.0,3.47,45,2.32,19.4,19
Sunglasses,Accessories,Tommy Hilfiger,232,227,350,1534805,6615.54,8.57,3.49,26,2.32,11.21,19
Dress,Clothing,Zara,225,218,329,1011085,4493.71,8.35,3.52,42,2.25,18.67,20
Belt,Accessories,Fastrack,221,214,304,413980,1873.21,7.95,3.48,21,2.21,9.5,21
Cap,Accessories,Levis,202,198,281,278967,1381.02,8.31,3.63,12,2.02,5.94,22
Wallet,Accessories,Fastrack,198,192,292,525266,2652.86,9.1,3.4,18,1.98,9.09,23
