Transaction ID,Customer ID,Purchase Date,Age,Gender,Location,Online/Offline,Online Store,Category,Item Purchased,Brand,Color,Size,Quantity,Purchase Amount (₹),Discount (%),Festival/Sale,Shipping Charge (₹),Delivery Speed,Delivery Time (Days),Subscription Status,Payment Method,Review Rating,Return Status,Previous Purchases,season,age_group
TXN500407,CUST000215,2023-01-01,46,Male,Visakhapatnam,Online,Ajio,Accessories,Belt,Tommy Hilfiger,Red,M,2,4750,7,Standard Day,0,Standard,7,Yes,Debit Card,3,Not Returned,22,winter,Adult
TXN503164,CUST002409,2023-01-01,41,Male,Kochi,Offline,In-Store Purchase,Accessories,Socks,Wildcraft,Olive,Free Size,3,1350,17,In-Store Festival Offer,0,N/A (Offline),0,Yes,Credit Card,2,Returned,0,winter,Adult
TXN504311,CUST002605,2023-01-01,47,Female,Visakhapatnam,Online,Amazon,Footwear,Slippers,Hush Puppies,White,10,1,1087,7,Standard Day,60,Standard,5,No,UPI,4,Not Returned,57,winter,Adult
TXN504505,CUST001283,2023-01-01,45,Female,Lucknow,Offline,In-Store Purchase,Accessories,Socks,Puma,White,S,1,500,27,In-Store Festival Offer,0,N/A (Offline),0,Yes,Cash,4,Not Returned,11,winter,Adult
TXN505392,CUST002563,2023-01-01,19,Male,Surat,Offline,In-Store Purchase,Clothing,T-shirt,Nike,Black,XS,3,4705,20,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,3,Returned,3,winter,Young Adult
TXN505594,CUST001895,2023-01-01,20,Male,Chennai,Online,Flipkart,Clothing,Kurta,Biba,Olive,XS,2,7545,12,Standard Day,0,Same Day,0,Yes,UPI,4,Not Returned,25,winter,Young Adult
TXN506007,CUST003000,2023-01-01,64,Female,Noida,Online,Ajio,Footwear,Formal Shoes,Zara,Green,7,1,2034,9,Standard Day,40,Standard,5,No,Cash on Delivery,4,Not Returned,10,winter,Adult
TXN509250,CUST001452,2023-01-01,60,Male,Ahmedabad,Online,Amazon,Clothing,Shirt,Zara,Blue,XS,1,1153,8,Standard Day,60,Standard,3,No,Credit Card,3,Not Returned,17,winter,Adult
TXN501205,CUST001883,2023-01-02,43,Female,Chennai,Online,Myntra,Clothing,Kurta,Biba,Brown,M,1,985,40,Republic Day Sale,0,Express,1,Yes,Credit Card,3,Not Returned,9,winter,Adult
TXN502087,CUST003003,2023-01-02,46,Male,Hyderabad,Offline,In-Store Purchase,Clothing,Kurta,FabIndia,Brown,M,1,4408,25,In-Store Festival Offer,0,N/A (Offline),0,No,Debit Card,4,Not Returned,11,winter,Adult
TXN502311,CUST000869,2023-01-02,52,Male,Noida,Online,Amazon,Footwear,Sneakers,Nike,Olive,11,1,9182,8,Standard Day,0,Standard,3,No,Credit Card,4,Not Returned,15,winter,Adult
TXN502752,CUST000822,2023-01-02,39,Female,Chandigarh,Offline,In-Store Purchase,Clothing,Shorts,Adidas,Blue,S,3,2616,13,In-Store Festival Offer,0,N/A (Offline),0,Yes,Cash,4,Not Returned,18,winter,Adult
TXN503358,CUST000976,2023-01-02,52,Female,Kochi,Online,Myntra,Clothing,Jacket,HRX,Green,L,2,7218,4,Standard Day,0,Express,2,No,Cash on Delivery,4,Not Returned,29,winter,Adult
TXN504468,CUST003478,2023-01-02,49,Female,Kolkata,Online,Nykaa,Clothing,Saree,Biba,Brown,XXL,1,1040,22,Republic Day Sale,0,Standard,7,Yes,UPI,3,Not Returned,3,winter,Adult
TXN504684,CUST001277,2023-01-02,22,Female,Delhi,Online,Ajio,Footwear,Heels,Bata,Green,6,2,3800,8,Standard Day,0,Standard,7,Yes,Credit Card,2,Not Returned,6,winter,Young Adult
TXN505169,CUST002615,2023-01-02,56,Female,Chandigarh,Online,Nykaa,Footwear,Sneakers,Adidas,Grey,7,1,13960,1,Standard Day,40,Standard,3,No,UPI,5,Not Returned,7,winter,Adult
TXN507114,CUST001858,2023-01-02,23,Female,Nagpur,Offline,In-Store Purchase,Footwear,Running Shoes,Puma,Black,6,2,23488,25,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,4,Not Returned,49,winter,Young Adult
TXN508702,CUST003216,2023-01-02,57,Female,Visakhapatnam,Online,Meesho,Clothing,Dress,Roadster,Blue,L,1,1110,12,Standard Day,99,Standard,4,No,Wallet,4,Not Returned,1,winter,Adult
TXN500240,CUST000573,2023-01-03,54,Female,Visakhapatnam,Online,Amazon,Footwear,Sneakers,Adidas,Red,9,2,29064,15,Standard Day,60,Express,1,No,UPI,5,Not Returned,0,winter,Adult
TXN501144,CUST002155,2023-01-03,44,Female,Bangalore,Online,Meesho,Clothing,Saree,Max,Red,L,1,2594,14,Standard Day,0,Standard,7,Yes,UPI,2,Returned,2,winter,Adult
TXN501703,CUST000067,2023-01-03,54,Female,Jaipur,Offline,In-Store Purchase,Footwear,Formal Shoes,Hush Puppies,Grey,8,1,6922,12,In-Store Festival Offer,0,N/A (Offline),0,No,UPI,4,Not Returned,6,winter,Adult
TXN502118,CUST000261,2023-01-03,51,Male,Lucknow,Online,Meesho,Accessories,Socks,Wildcraft,Green,S,1,284,8,Standard Day,0,Same Day,0,Yes,UPI,3,Not Returned,15,winter,Adult
TXN502417,CUST001607,2023-01-03,57,Female,Ahmedabad,Offline,In-Store Purchase,Footwear,Sneakers,Nike,Blue,11,1,8166,28,In-Store Festival Offer,0,N/A (Offline),0,Yes,UPI,5,Returned,41,winter,Adult
TXN503436,CUST003256,2023-01-03,30,Male,Mumbai,Online,Flipkart,Clothing,Kurta,Max,Grey,M,1,1635,9,Standard Day,0,Standard,5,Yes,Debit Card,2,Not Returned,0,winter,Adult
TXN504164,CUST002595,2023-01-03,21,Male,Gurgaon,Online,Flipkart,Accessories,Sunglasses,Fastrack,Blue,Free Size,1,2742,8,Standard Day,0,Standard,3,Yes,UPI,4,Not Returned,28,winter,Young Adult
TXN504951,CUST003445,2023-01-03,26,Male,Noida,Online,Amazon,Accessories,Belt,Fastrack,Navy,L,1,773,4,Standard Day,0,Standard,3,No,Cash on Delivery,4,Not Returned,8,winter,Adult
TXN506966,CUST001006,2023-01-03,25,Male,Bhubaneswar,Online,Ajio,Clothing,T-shirt,Puma,Grey,M,1,1731,2,Standard Day,0,Express,2,Yes,UPI,4,Not Returned,4,winter,Young Adult
TXN507289,CUST001489,2023-01-03,56,Female,Nagpur,Online,Myntra,Footwear,Sneakers,Adidas,Olive,10,1,22212,10,Standard Day,0,Standard,7,No,Cash on Delivery,3,Not Returned,40,winter,Adult
TXN507336,CUST001673,2023-01-03,38,Female,Gurgaon,Online,Ajio,Footwear,Heels,Hush Puppies,Grey,7,1,4631,0,Standard Day,0,Same Day,0,No,Net Banking,5,Not Returned,4,winter,Adult
TXN509172,CUST001346,2023-01-03,63,Male,Chennai,Online,Nykaa,Footwear,Sandals,Max,Olive,6,1,1193,11,Standard Day,0,Same Day,0,No,Credit Card,2,Not Returned,6,winter,Adult
TXN509567,CUST000529,2023-01-03,38,Female,Visakhapatnam,Online,Ajio,Clothing,Saree,Biba,Navy,XL,2,18382,2,Standard Day,0,Express,1,Yes,Credit Card,5,Returned,0,winter,Adult
TXN509699,CUST000201,2023-01-03,27,Female,Mumbai,Online,Myntra,Accessories,Backpack,Tommy Hilfiger,Brown,Free Size,1,5795,10,Standard Day,99,Standard,7,No,Cash on Delivery,2,Not Returned,6,winter,Adult
TXN500267,CUST000220,2023-01-04,43,Male,Patna,Online,Amazon,Clothing,Shirt,H&M,Black,S,1,881,5,Standard Day,0,Standard,4,Yes,UPI,4,Not Returned,4,winter,Adult
TXN500373,CUST002478,2023-01-04,53,Female,Bangalore,Online,Nykaa,Accessories,Sunglasses,Wildcraft,Brown,Free Size,1,5175,2,Standard Day,0,Express,1,Yes,Credit Card,4,Not Returned,43,winter,Adult
